participant,complexity,interval_length,tasks_completed,accuracy
1,Easy,10,21,0.8095238095238095
1,Easy,20,26,0.9230769230769231
1,Easy,30,26,0.8846153846153846
1,Medium,10,14,0.7142857142857143
1,Medium,20,13,0.9230769230769231
1,Medium,30,15,1.0
1,Hard,10,8,0.625
1,Hard,20,11,0.6363636363636364
1,Hard,30,11,0.45454545454545453
2,Easy,10,48,0.9166666666666666
2,Easy,20,50,0.92
2,Easy,30,37,1.0
2,Medium,10,29,0.8275862068965517
2,Medium,20,28,0.9285714285714286
2,Medium,30,31,0.8709677419354839
2,Hard,10,17,0.7058823529411765
2,Hard,20,15,0.9333333333333333
2,Hard,30,18,0.7777777777777778
3,Easy,10,50,0.9
3,Easy,20,53,0.9622641509433962
3,Easy,30,61,0.8524590163934426
3,Medium,10,31,0.6129032258064516
3,Medium,20,34,0.7941176470588235
3,Medium,30,37,0.6756756756756757
3,Hard,10,22,0.45454545454545453
3,Hard,20,24,0.5
3,Hard,30,23,0.7391304347826086
4,Easy,10,72,0.9305555555555556
4,Easy,20,68,0.9117647058823529
4,Easy,30,74,0.9594594594594594
4,Medium,10,39,0.8717948717948718
4,Medium,20,41,0.8536585365853658
4,Medium,30,42,0.9285714285714286
4,Hard,10,18,0.7777777777777778
4,Hard,20,23,0.8695652173913043
4,Hard,30,28,0.8571428571428571
5,Easy,10,44,0.9318181818181818
5,Easy,20,43,0.9069767441860465
5,Easy,30,54,0.9814814814814815
5,Medium,10,31,0.8064516129032258
5,Medium,20,31,0.9032258064516129
5,Medium,30,33,0.7878787878787878
5,Hard,10,25,0.72
5,Hard,20,24,0.875
5,Hard,30,23,0.9130434782608695
6,Easy,10,50,0.96
6,Easy,20,59,0.9491525423728814
6,Easy,30,63,0.9682539682539683
6,Medium,10,28,0.8928571428571429
6,Medium,20,35,0.9142857142857143
6,Medium,30,38,0.8421052631578947
6,Hard,10,21,0.7619047619047619
6,Hard,20,25,0.6
6,Hard,30,25,0.88
7,Easy,10,21,0.8095238095238095
7,Easy,20,15,1.0
7,Easy,30,18,0.8333333333333334
7,Medium,10,10,0.5
7,Medium,20,16,0.75
7,Medium,30,14,0.7142857142857143
7,Hard,10,10,0.2
7,Hard,20,10,0.7
7,Hard,30,9,0.6666666666666666
8,Easy,10,26,0.9230769230769231
8,Easy,20,26,0.9230769230769231
8,Easy,30,34,1.0
8,Medium,10,14,0.7857142857142857
8,Medium,20,24,0.9166666666666666
8,Medium,30,21,0.6666666666666666
8,Hard,10,9,0.5555555555555556
8,Hard,20,8,0.75
8,Hard,30,11,0.9090909090909091
9,Easy,10,45,0.9555555555555556
9,Easy,20,45,0.9555555555555556
9,Easy,30,50,0.98
9,Medium,10,34,0.8823529411764706
9,Medium,20,37,0.918918918918919
9,Medium,30,38,0.9210526315789473
9,Hard,10,23,0.8695652173913043
9,Hard,20,23,0.8695652173913043
9,Hard,30,27,0.9629629629629629
10,Easy,10,67,0.9253731343283582
10,Easy,20,77,0.8311688311688312
10,Easy,30,79,0.9493670886075949
10,Medium,10,42,0.7857142857142857
10,Medium,20,46,0.9130434782608695
10,Medium,30,45,0.9555555555555556
10,Hard,10,26,0.7307692307692307
10,Hard,20,25,0.8
10,Hard,30,27,0.9259259259259259
11,Easy,10,46,0.782608695652174
11,Easy,20,52,0.8461538461538461
11,Easy,30,51,0.8431372549019608
11,Medium,10,31,0.7741935483870968
11,Medium,20,28,0.75
11,Medium,30,32,0.8125
11,Hard,10,20,0.7
11,Hard,20,26,0.2692307692307692
11,Hard,30,22,0.6818181818181818
12,Easy,10,59,0.9830508474576272
12,Easy,20,59,0.9661016949152542
12,Easy,30,63,0.9365079365079365
12,Medium,10,29,0.7586206896551724
12,Medium,20,30,0.9666666666666667
12,Medium,30,34,0.8823529411764706
12,Hard,10,24,0.5833333333333334
12,Hard,20,27,0.6666666666666666
12,Hard,30,24,0.6666666666666666
13,Easy,10,24,0.7916666666666666
13,Easy,20,32,0.9375
13,Easy,30,34,0.8823529411764706
13,Medium,10,14,0.7857142857142857
13,Medium,20,18,1.0
13,Medium,30,20,0.9
13,Hard,10,10,0.7
13,Hard,20,8,0.75
13,Hard,30,12,0.6666666666666666
14,Easy,10,39,0.9743589743589743
14,Easy,20,51,0.8823529411764706
14,Easy,30,47,0.8936170212765957
14,Medium,10,13,0.8461538461538461
14,Medium,20,17,0.6470588235294118
14,Medium,30,20,0.8
14,Hard,10,8,0.625
14,Hard,20,13,0.5384615384615384
14,Hard,30,10,0.9
15,Easy,10,41,0.8292682926829268
15,Easy,20,42,0.9761904761904762
15,Easy,30,45,0.9111111111111111
15,Medium,10,17,0.7647058823529411
15,Medium,20,22,0.9545454545454546
15,Medium,30,22,0.9090909090909091
15,Hard,10,11,0.9090909090909091
15,Hard,20,12,0.8333333333333334
15,Hard,30,13,0.8461538461538461
16,Easy,10,41,0.8780487804878049
16,Easy,20,48,0.8541666666666666
16,Easy,30,48,0.8958333333333334
16,Medium,10,43,0.8837209302325582
16,Medium,20,49,0.8775510204081632
16,Medium,30,48,0.9375
16,Hard,10,46,0.8043478260869565
16,Hard,20,45,0.8666666666666667
16,Hard,30,53,0.8679245283018868
17,Easy,10,26,0.8461538461538461
17,Easy,20,35,0.8571428571428571
17,Easy,30,18,0.7777777777777778
17,Medium,10,13,0.8461538461538461
17,Medium,20,16,0.6875
17,Medium,30,15,0.8666666666666667
17,Hard,10,17,0.4117647058823529
17,Hard,20,16,0.5
17,Hard,30,13,0.46153846153846156
18,Easy,10,48,0.9375
18,Easy,20,57,1.0
18,Easy,30,67,0.9552238805970149
18,Medium,10,20,0.85
18,Medium,20,22,0.7272727272727273
18,Medium,30,26,0.7307692307692307
18,Hard,10,19,0.5789473684210527
18,Hard,20,22,0.5
18,Hard,30,19,0.7894736842105263
19,Easy,10,60,0.8
19,Easy,20,64,0.796875
19,Easy,30,62,0.8709677419354839
19,Medium,10,39,0.5641025641025641
19,Medium,20,37,0.8648648648648649
19,Medium,30,37,0.9459459459459459
19,Hard,10,24,0.375
19,Hard,20,25,0.68
19,Hard,30,27,0.5185185185185185
